track_id,album_title,artist_name,track_date_created,track_duration,track_genres,track_title
2,AWOL - A Way Of Life,AWOL,2008-11-26 01:48:12,168,Hip-Hop,Food
3,AWOL - A Way Of Life,AWOL,2008-11-26 01:48:14,237,Hip-Hop,Electric Ave
5,AWOL - A Way Of Life,AWOL,2008-11-26 01:48:20,206,Hip-Hop,This World
10,Constant Hitmaker,Kurt Vile,2008-11-25 17:49:06,161,Pop,Freeway
20,Niris,Nicky Cook,2008-11-26 01:48:56,311,"Experimental Pop, Singer-Songwriter",Spiritual Level
26,Niris,Nicky Cook,2008-11-26 01:49:05,181,"Experimental Pop, Singer-Songwriter",Where is your Love?
30,Niris,Nicky Cook,2008-11-26 01:49:11,174,"Experimental Pop, Singer-Songwriter",Too Happy
46,Niris,Nicky Cook,2008-11-26 01:49:53,104,"Experimental Pop, Singer-Songwriter",Yosemite
48,Niris,Nicky Cook,2008-11-26 01:49:56,205,"Experimental Pop, Singer-Songwriter",Light of Light
134,AWOL - A Way Of Life,AWOL,2008-11-26 01:43:19,207,Hip-Hop,Street Music
135,mp3,Abominog,2008-11-26 01:43:26,837,"Loud-Rock, Psych-Rock",Father's Day
136,mp3,Abominog,2008-11-26 01:43:35,509,"Loud-Rock, Psych-Rock",Peel Back The Mountain Sky
137,Live at LACE,Airway,2008-11-26 01:43:42,1233,"Avant-Garde, Noise",Side A
138,Live at LACE,Airway,2008-11-26 01:43:56,1231,"Avant-Garde, Noise",Side B
139,Every Man For Himself,Alec K. Redfearn & the Eyesores,2008-11-26 01:44:05,296,Folk,CandyAss
140,The Blind Spot,Alec K. Redfearn & the Eyesores,2008-11-26 01:44:07,253,Folk,Queen Of The Wires
141,Every Man For Himself,Alec K. Redfearn & the Eyesores,2008-11-26 01:44:10,182,Folk,Ohio
142,The Quiet Room,Alec K. Redfearn & the Eyesores,2008-11-26 01:44:11,470,Folk,Punjabi Watery Grave
